latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
34.88884,-96.04642,328.02,1.08,1.04,2022-04-01,1717,T,84,6.1NRT,295.37,25.47,D
34.88693,-96.03478,313.26,1.08,1.04,2022-04-01,1717,T,71,6.1NRT,293.79,9.97,D
34.88503,-96.02315,322.38,1.08,1.04,2022-04-01,1717,T,80,6.1NRT,295.01,19.27,D
34.36184,-93.12679,300.73,1.5,1.21,2022-04-01,1717,T,41,6.1NRT,289.12,6.74,D
34.35876,-93.1106,300.53,1.5,1.21,2022-04-01,1717,T,38,6.1NRT,288.84,6.34,D
34.93936,-97.24178,311.9,1.01,1.01,2022-04-01,1717,T,51,6.1NRT,294.64,7.45,D
34.45548,-95.93814,304.06,1.1,1.04,2022-04-01,1717,T,58,6.1NRT,289.36,6.54,D
34.30073,-97.05924,315.57,1.03,1.01,2022-04-01,1717,T,71,6.1NRT,297.16,9.68,D
33.91862,-97.10115,325.17,1.03,1.01,2022-04-01,1717,T,81,6.1NRT,295.97,19.33,D
33.90936,-97.09778,310.16,1.03,1.01,2022-04-01,1717,T,58,6.1NRT,295.72,6.05,D
33.71907,-96.43556,306.47,1.07,1.03,2022-04-01,1717,T,50,6.1NRT,292.55,4.78,D
33.71334,-96.44335,305.56,1.07,1.03,2022-04-01,1717,T,44,6.1NRT,293.15,4.06,D
33.77573,-96.8945,311.42,1.04,1.02,2022-04-01,1717,T,63,6.1NRT,293,7.06,D
33.76669,-96.89655,307.77,1.04,1.02,2022-04-01,1717,T,48,6.1NRT,294.07,4.47,D
33.15163,-94.28529,300.46,1.36,1.16,2022-04-01,1717,T,37,6.1NRT,283.61,6.89,D
33.07363,-95.43636,304.19,1.2,1.09,2022-04-01,1717,T,56,6.1NRT,290.92,4.7,D
30.94695,-86.88406,317.59,4.57,1.96,2022-04-01,1717,T,78,6.1NRT,290.66,135.78,D
30.94619,-86.8891,313.23,4.57,1.96,2022-04-01,1717,T,67,6.1NRT,290.8,100.61,D
33.28393,-104.3583,316.77,1.69,1.28,2022-04-01,1717,T,25,6.1NRT,300.75,11.44,D
33.2733,-104.34858,319.73,1.69,1.28,2022-04-01,1717,T,66,6.1NRT,301.52,17.31,D
31.79769,-94.47159,335.62,1.4,1.17,2022-04-01,1717,T,90,6.1NRT,293.9,54.56,D
31.79244,-94.47868,318.78,1.4,1.17,2022-04-01,1717,T,78,6.1NRT,292.31,24.25,D
31.78984,-94.46419,322.34,1.41,1.17,2022-04-01,1717,T,81,6.1NRT,290.9,30.38,D
31.14064,-92.48678,306.99,1.93,1.36,2022-04-01,1717,T,55,6.1NRT,292.26,17.83,D
31.21223,-93.22963,307.66,1.72,1.29,2022-04-01,1717,T,64,6.1NRT,292.96,14.77,D
31.40253,-94.34819,310.92,1.45,1.19,2022-04-01,1717,T,68,6.1NRT,292.16,14.27,D
31.39973,-94.33319,303.93,1.46,1.19,2022-04-01,1717,T,42,6.1NRT,293.33,6.26,D
31.40635,-94.33731,304.37,1.46,1.19,2022-04-01,1717,T,44,6.1NRT,293.82,6.75,D
31.39585,-94.34001,305.26,1.46,1.19,2022-04-01,1717,T,47,6.1NRT,293.06,7.9,D
31.27729,-96.44992,315.25,1.14,1.06,2022-04-01,1717,T,65,6.1NRT,296.73,9.28,D
31.09293,-95.36761,316.9,1.29,1.13,2022-04-01,1717,T,74,6.1NRT,294.17,17.96,D
31.09062,-95.35436,308.4,1.29,1.13,2022-04-01,1717,T,58,6.1NRT,293.48,8.04,D
30.79837,-96.7076,326.76,1.13,1.06,2022-04-01,1717,T,81,6.1NRT,298.87,23.02,D
30.79449,-96.71486,319.28,1.13,1.06,2022-04-01,1717,T,74,6.1NRT,298.4,14.52,D
30.79259,-96.70325,315.37,1.13,1.06,2022-04-01,1717,T,68,6.1NRT,298.2,10.13,D
30.33595,-95.12228,307.51,1.37,1.16,2022-04-01,1717,T,39,6.1NRT,295,5.91,D
30.17549,-97.01164,310.93,1.12,1.05,2022-04-01,1717,T,48,6.1NRT,299.41,5.85,D
29.78984,-94.88654,312.17,1.45,1.19,2022-04-01,1717,T,59,6.1NRT,296.97,9.79,D
29.46804,-96.28155,324.71,1.23,1.1,2022-04-01,1717,T,78,6.1NRT,299.69,20.74,D
29.46591,-96.26913,327.94,1.23,1.1,2022-04-01,1717,T,81,6.1NRT,300.19,25.55,D
27.36844,-98.02066,329.53,1.09,1.04,2022-04-01,1720,T,70,6.1NRT,306.82,12.5,D
26.44062,-98.45998,322.06,1.08,1.04,2022-04-01,1720,T,52,6.1NRT,301.74,8.31,D
26.23712,-97.50464,320.35,1.18,1.08,2022-04-01,1720,T,54,6.1NRT,305.32,7.64,D
26.07153,-97.74074,352.22,1.16,1.07,2022-04-01,1720,T,72,6.1NRT,300.49,71.65,D
26.61081,-105.19128,329.77,1.57,1.23,2022-04-01,1720,T,78,6.1NRT,311.44,24.85,D
26.64866,-105.7411,323.75,1.71,1.28,2022-04-01,1720,T,58,6.1NRT,304.33,22.64,D
25.31329,-100.20164,376.35,1,1,2022-04-01,1720,T,100,6.1NRT,303.02,135.17,D
